Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,United States,1961,179087280,4007,0.000022374565,0.022374565,10.5447,,380,0.0000021218705,0.021218705,,,1565000,0.008738756,8.738756,42000,0.00023452252,0.23452252,1527000,0.008526568,8.526568,1449000,0.008091027,8.091027,,,,,,,78000,0.00043554182,0.43554181999999997,8.085228,22.151309367528004,13.295708,0.15853389,0.063413545
,United States,1962,181917810,3497,0.000019222967,0.019222966999999997,9.7139,,360,0.0000019789156,0.019789156000000002,,,1311000,0.0072065513,7.2065513,41000,0.00022537651,0.22537651,1274000,0.0070031625,7.0031625,1208000,0.0066403616,6.6403616,,,,,,,66000,0.0003628012,0.3628012,6.641265,18.19524639339,10.917437,0.12670138,0.052792247
,United States,1963,184649870,2833,0.00001534255,0.015342550000000002,9.1981,,308,0.0000016680217,0.016680217,,,1378000,0.0074627725,7.4627725,49000,0.0002653671,0.2653671,1332000,0.0072136526,7.2136526000000005,1263000,0.0068399725,6.8399725,,,,,,,69000,0.0003736802,0.3736802,6.8344836,18.724612415493603,11.243147,0.1265645,0.052735213
,United States,1964,187277380,4128,0.000022042172,0.022042172000000002,11.4667,,360,0.0000019222823,0.019222823,,,1448000,0.007731847,7.731847,63000,0.00033639942,0.33639942,1390000,0.007422146,7.422146,1317000,0.0070323497,7.0323497,,,,,,,73000,0.00038979616,0.38979616,7.037069,19.279640903094002,11.556385,0.13694894,0.052672673
,United States,1965,189703280,3248,0.000017121476,0.017121476,8.4583,,384,0.000002024214,0.02024214,,,1565000,0.008249725,8.249725,57000,0.00030046923,0.30046923,1511000,0.00796507,7.96507,1433000,0.007553902,7.553902000000001,,,,,,,78000,0.00041116844,0.41116843999999997,7.557832,20.706388834032,12.420949,0.1473672,0.063157365
,United States,1966,191830980,3989,0.000020794349,0.020794349,9.753099,,409,0.0000021320852,0.021320852,,,1618000,0.008434509,8.434509,65000,0.00033883995,0.33883995,1557000,0.00811652,8.11652,1476000,0.0076942737,7.6942737,,,,,,,81000,0.00042224673,0.42224673,7.6951046,21.0824781453396,12.64271,0.14737546,0.06316091
,United States,1967,193782430,3672,0.000018949086,0.018949086,8.978,,409,0.0000021106143,0.021106143,,,1635000,0.008437297,8.437297,61000,0.000314786,0.314786,1578000,0.008143153,8.143153,1496000,0.0077199982,7.7199982,,,,,,,82000,0.00042315497,0.42315497,7.7182665,21.145935404979003,12.688283,0.14741574,0.063178174
,United States,1968,195743420,2942,0.000015029879,0.015029879000000001,7.5825,,388,0.0000019821866,0.019821866,,,1667000,0.00851625,8.51625,78000,0.00039848083,0.39848083,1592000,0.008133096,8.133096,1509000,0.007709071,7.709071,,,,,,,84000,0.0004291332,0.4291332,7.705349,21.110544994374,12.673825,0.14737006,0.063158594
,United States,1969,197859330,2799,0.000014146414,0.014146414000000001,7.4441,,376,0.0000019003401,0.019003401,,,1632000,0.008248284,8.248284,87000,0.00043970635,0.43970635,1547000,0.007818686,7.8186860000000005,1466000,0.0074093044,7.409304400000001,,,,,,,82000,0.00041443587,0.41443587,7.410756,20.303440892856003,12.172561,0.14716394,0.06307026
,United States,1970,200328340,2536,0.000012659218,0.012659218,8.2338,,308,0.000001537476,0.015374760000000001,,,1846000,0.0092148725,9.2148725,191000,0.0009534348,0.9534348,1658000,0.008276413,8.276413,1565000,0.007812175,7.812175,,,,,,,92000,0.00045924608,0.45924608,7.816103,21.413980607778,12.845231,0.14668289,0.062864095
,United States,1971,202907920,2132,0.0000105072295,0.010507229500000001,7.2764997,,293,0.0000014440047,0.014440047,,,1918000,0.009452564,9.452564,180000,0.00088710187,0.8871018700000001,1740000,0.008575318,8.575318,1644000,0.008102197,8.102197,,,,,,,96000,0.000473121,0.473121,8.0993805,22.190083339743,13.318052,0.15656018,0.06262407
,United States,1972,205238380,2313,0.000011269822,0.011269822,7.9484997,,291,0.0000014178635,0.014178635,,,1939000,0.00944755,9.447550000000001,188000,0.00091600796,0.91600796,1753000,0.008541287,8.541287,1656000,0.008068666,8.068666,,,,,,,97000,0.00047262115,0.47262115,8.06797,22.104027176220004,13.262702,0.15615427,0.062461708
,United States,1973,207314770,2993,0.000014436984,0.014436984,11.2097,,267,0.0000012878967,0.012878967000000002,,,1954000,0.009425282,9.425282,188000,0.0009068336,0.9068336,1769000,0.008532918,8.532918,1671000,0.008060208,8.060208,,,,,,,98000,0.00047271114,0.47271114,8.057744,22.076010738144,13.256288,0.15595633,0.06238253
,United States,1974,209277970,2994,0.000014306332,0.014306332,12.1215,,247,0.0000011802484,0.011802484,,,2048000,0.0097860275,9.786027500000001,195000,0.0009317751,0.9317751,1856000,0.008868587,8.868587000000002,1753000,0.00837642,8.376420000000001,,,,,,,103000,0.0004921684,0.4921684,8.375387,22.946265523962,13.768472,0.1558695,0.072739094
,United States,1975,211274540,2812,0.000013309696,0.013309696,11.0275,,255,0.0000012069604,0.012069604,,,1967000,0.009310161,9.310161,187000,0.00088510424,0.88510424,1782000,0.008434523,8.434522999999999,1684000,0.007970671,7.970671,,,,,,,98000,0.00046385144,0.46385144,7.9663982,21.8257482748932,13.097299,0.15579657,0.062318627
,United States,1976,213270030,2263,0.000010610961,0.010610961,10.148,,223,0.0000010456228,0.010456228,,,2173000,0.0101889605,10.1889605,201000,0.00094246713,0.94246713,1974000,0.009255871,9.255871,1866000,0.008749471,8.749471,,,,,,,109000,0.00051108917,0.51108917,8.743936,23.955988801536,14.38284,0.16615555,0.07269306
,United States,1977,215437400,2631,0.000012212364,0.012212364,11.7982,,223,0.0000010351034,0.010351034,,,2179000,0.010114307,10.114307,199000,0.00092370214,0.92370214,1982000,0.0091998875,9.1998875,1873000,0.00869394,8.693940000000001,,,,,,,109000,0.0005059474,0.5059474,8.69665,23.8264381179,14.2903185,0.16604581,0.072645046
,United States,1978,217881440,2590,0.0000118871985,0.0118871985,11.2609,,230,0.0000010556199,0.010556199,,,2306000,0.010583738,10.583738,201000,0.00092252006,0.92252006,2109000,0.009679576,9.679576,1993000,0.0091471765,9.1471765,,,,,,,115000,0.00052781,0.52781,9.14844,25.064218927440002,15.033281,0.17613079,0.07252444
,United States,1979,220463100,2540,0.000011521202,0.011521202,10.16,,250,0.0000011339766,0.011339766000000001,,,2410000,0.010931535,10.931534999999998,197000,0.00089357357,0.89357357,2215000,0.0100470325,10.0470325,2094000,0.009498188,9.498187999999999,,,,,,,121000,0.0005488447,0.5488447,9.501758,26.032213438308002,15.6122465,0.18610625,0.08271389
,United States,1980,223140020,2090,0.000009366317,0.009366317,9.087,,230,0.000001030743,0.010307430000000001,,,2423000,0.010858653,10.858652999999999,205000,0.00091870566,0.91870566,2220000,0.00994891,9.94891,2098000,0.009402168,9.402168000000001,,,,,,,121000,0.0005422604,0.5422604,9.407569,25.774161386094,15.46266,0.1753604,0.07220722
,United States,1981,225654000,2720,0.0000120538525,0.0120538525,10.4615,,260,0.0000011522064,0.011522064,,,2534000,0.011229581,11.229581000000001,217000,0.00096164923,0.96164923,2320000,0.010281227,10.281227000000001,2193000,0.009718418,9.718418,,,,,,,127000,0.00056280853,0.56280853,9.713627,26.612676446202002,15.976495,0.18541387,0.08240616
,United States,1982,228001420,2630,0.000011535016,0.011535015999999999,9.069,,290,0.0000012719219,0.012719219,,,2665000,0.011688524,11.688524000000001,210000,0.0009210469,0.9210469,2459000,0.01078502,10.78502,2325000,0.010197305,10.197305,,,,,,,133000,0.0005833297,0.5833297,10.20302,27.95347917252,16.76137,0.19561794,0.082365446
,United States,1983,230389970,2040,0.000008854552,0.008854552,5.8286,,350,0.0000015191633,0.015191633000000001,,,2450000,0.010634144,10.634144,188000,0.0008160077,0.8160077,2264000,0.009826817,9.826817,2142000,0.00929728,9.29728,,,,,,,123000,0.0005338774,0.5338774000000001,9.292212,25.458114813911997,15.281213,0.17493644,0.07203265
,United States,1984,232766290,4040,0.000017356466,0.017356466,11.5429,,350,0.0000015036542,0.015036542,,,2557000,0.010985267,10.985267,202000,0.00086782326,0.86782326,2359000,0.010134629,10.134628999999999,2231000,0.009584721,9.584721,,,,,,,128000,0.0005499078,0.5499078000000001,9.587857,26.268101107182,15.7500105,0.18517321,0.0822992
,United States,1985,235146180,3700,0.000015734893,0.015734893000000003,10.8824,,340,0.0000014459091,0.014459091,,,2971000,0.012634694,12.634694,197000,0.00083777675,0.83777675,2777000,0.011809675,11.809675,2629000,0.01118028,11.180280000000002,,,,,,,149000,0.0006336484,0.6336484,11.1808195,30.632381885457,18.38098,0.21600479,0.092573486
