Entity,Code,Year,"GDP per capita, PPP (constant 2017 international $)"
Latin America and Caribbean (WB),,1990,10781.964
Latin America and Caribbean (WB),,1991,10932.374
Latin America and Caribbean (WB),,1992,11049.115
Latin America and Caribbean (WB),,1993,11359.994
Latin America and Caribbean (WB),,1994,11750.328
Latin America and Caribbean (WB),,1995,11628.522
Latin America and Caribbean (WB),,1996,11895.374
Latin America and Caribbean (WB),,1997,12347.447
Latin America and Caribbean (WB),,1998,12533.109
Latin America and Caribbean (WB),,1999,12418.679
Latin America and Caribbean (WB),,2000,12681.179
Latin America and Caribbean (WB),,2001,12550.115
Latin America and Caribbean (WB),,2002,12441.6
Latin America and Caribbean (WB),,2003,12581.069
Latin America and Caribbean (WB),,2004,13085.089
Latin America and Caribbean (WB),,2005,13423.281
Latin America and Caribbean (WB),,2006,13944.711
Latin America and Caribbean (WB),,2007,14491.39
Latin America and Caribbean (WB),,2008,14847.103
Latin America and Caribbean (WB),,2009,14334.21
Latin America and Caribbean (WB),,2010,15093.971
Latin America and Caribbean (WB),,2011,15598.564
Latin America and Caribbean (WB),,2012,15843.235
Latin America and Caribbean (WB),,2013,16110.104
Latin America and Caribbean (WB),,2014,16183.376
Latin America and Caribbean (WB),,2015,16111.032
Latin America and Caribbean (WB),,2016,15929.458
Latin America and Caribbean (WB),,2017,16075.074
Latin America and Caribbean (WB),,2018,16197.657
Latin America and Caribbean (WB),,2019,16178.053
Latin America and Caribbean (WB),,2020,14976.215
Latin America and Caribbean (WB),,2021,15956.927
Latin America and Caribbean (WB),,2022,16484.42
United States,USA,1990,40451.5
United States,USA,1991,39871.344
United States,USA,1992,40707.29
United States,USA,1993,41279.516
United States,USA,1994,42419.195
United States,USA,1995,43042.215
United States,USA,1996,44149.37
United States,USA,1997,45560.92
United States,USA,1998,47050.996
United States,USA,1999,48743.883
United States,USA,2000,50169.855
United States,USA,2001,50149.83
United States,USA,2002,50529.348
United States,USA,2003,51497.734
United States,USA,2004,52989.03
United States,USA,2005,54331.66
United States,USA,2006,55307.72
United States,USA,2007,55885.645
United States,USA,2008,55427.18
United States,USA,2009,53514.934
United States,USA,2010,54510.465
United States,USA,2011,54954.465
United States,USA,2012,55796.973
United States,USA,2013,56432.33
United States,USA,2014,57301.6
United States,USA,2015,58420.703
United States,USA,2016,58965.99
United States,USA,2017,59907.754
United States,USA,2018,61348.457
United States,USA,2019,62470.93
United States,USA,2020,60158.91
United States,USA,2021,63635.824
United States,USA,2022,64623.125
