Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,United States,1961,179087280,2584000,0.014428719,14.428719,13.9842,,184780,0.0010317874,10.317874000000002,,,39000,0.00021777091,0.21777090999999998,168000,0.0009380901,0.9380900999999999,2456000,0.013713984,13.713984,2326000,0.01298808,12.98808,,,,,,,130000,0.000725903,0.725903,12.989208,35.586870877008,17.079382,0.031706773,0.10568925
,United States,1962,181917810,2581000,0.014187726,14.187726,14.151,,182390,0.0010025956,10.025956,,,32000,0.00017590361,0.17590361,144000,0.0007915663,0.7915663000000001,2469000,0.013572063,13.572063,2339000,0.012857455,12.857455,,,,,,,130000,0.0007146084,0.7146083999999999,12.860192,35.233402387392,16.914637,0.031675346,0.105584495
,United States,1963,184649870,2609000,0.014129444,14.129444,14.3045,,182390,0.0009877613,9.877613,,,40000,0.0002166262,0.2166262,93000,0.00050365593,0.50365593,2556000,0.013842414,13.842414000000002,2424000,0.013127548,13.127547999999999,,,,,,,132000,0.00071486644,0.71486644,13.131067,35.975525667642,17.265509,0.031641126,0.10547043
,United States,1964,187277380,2866000,0.015303504,15.303504,15.6929,,182630,0.00097518455,9.7518455,,,73000,0.00038979616,0.38979616,160000,0.0008543477,0.8543477,2779000,0.014838952,14.838952,2635000,0.014070039,14.070039,,,,,,,145000,0.00077425264,0.7742526399999999,14.063604,38.530421532504,18.498642,0.042138137,0.11587988
,United States,1965,189703280,2785146,0.014681591,14.681591000000001,15.890599,,175270,0.0009239165,9.239165,,,16000,0.000084342246,0.08434224600000001,114000,0.00060093845,0.60093845,2686000,0.014158954,14.158954,2546000,0.013420959,13.420959,,,,,,,140000,0.0007379946,0.7379946000000001,13.42094,36.76969826244,17.652485,0.031578682,0.10526228
,United States,1966,191830980,2613313,0.013622998,13.622998,15.346299,,170290,0.00088770856,8.877085600000001,,,17000,0.00008861968,0.08861968,127000,0.00066204113,0.66204113,2504000,0.013053157,13.053156999999999,2372000,0.0123650525,12.3650525,,,,,,,131000,0.00068289286,0.6828928599999999,12.369013,33.887706510438,16.263935,0.031580456,0.105268195
,United States,1967,193782430,2451881,0.012652752,12.652752,14.749,,166240,0.0008578693,8.578693,,,71000,0.00036639028,0.36639028,128000,0.0006605346,0.6605346000000001,2395000,0.0123592215,12.3592215,2270000,0.011714168,11.714168,,,,,,,124000,0.0006398929,0.6398929,11.719551,32.108358583025996,15.404944,0.031589087,0.094767265
,United States,1968,195743420,2470433,0.012620771,12.620771,15.1143,,163450,0.00083502167,8.350216699999999,,,48000,0.00024521898,0.24521898,46000,0.00023500151,0.23500151,2473000,0.012633885,12.633885,2347000,0.011990186,11.990186,,,,,,,126000,0.0006436998,0.6436998,11.989607,32.848238027682,15.768596,0.031579297,0.0947379
,United States,1969,197859330,3093302,0.015633844,15.633844000000002,18.996,,162840,0.00082300894,8.2300894,,,48000,0.0002425966,0.2425966,41000,0.00020721793,0.20721793,3100000,0.015667697,15.667697,2943000,0.014874204,14.874204,,,,,,,157000,0.00079349306,0.79349306,14.87407,40.750876304820004,19.562294,0.04204684,0.12614052
,United States,1970,200328340,2901933,0.0144858835,14.4858835,17.816399,,162880,0.0008130652,8.130652,,,34000,0.00016972137,0.16972136999999998,50000,0.00024959026,0.24959025999999998,2887000,0.014411341,14.411341,2740000,0.013677546,13.677546000000001,,,,,,,147000,0.00073379534,0.73379534,13.672941,37.460111954166,17.989609,0.041909397,0.11525084
